epoch,accuracy,loss,val_accuracy,val_loss
0,0.3551565408706665,1.4385908842086792,0.35499057173728943,1.437248945236206
1,0.4172447919845581,1.3366427421569824,0.33898305892944336,1.5581982135772705
2,0.4448201358318329,1.2797963619232178,0.48493409156799316,1.2190746068954468
3,0.46201831102371216,1.255309820175171,0.48493409156799316,1.191874623298645
4,0.4816650152206421,1.2223953008651733,0.5301318168640137,1.1299241781234741
5,0.4852212369441986,1.2044756412506104,0.5301318168640137,1.147302508354187
6,0.4995627701282501,1.1797312498092651,0.529190182685852,1.1228464841842651
7,0.5030606985092163,1.1733847856521606,0.5207156538963318,1.11919105052948
8,0.5193843841552734,1.1426922082901,0.5621469020843506,1.0570474863052368
9,0.5271964073181152,1.1277493238449097,0.5593220591545105,1.0443425178527832
10,0.5356497168540955,1.1144076585769653,0.5838041305541992,1.0337531566619873
11,0.5424706935882568,1.1021625995635986,0.5706214904785156,1.039236307144165
